DOM,5,3,R,U,,,,
2,arcane flight,,,,,,,
1,shivan fire,,,,,,,
3,voldalian arcanist,,,,,,,
1,merfolk trickster,,,,,,,
1,bloodstone goblin,,,,,,,
2,ghitu chronicler,,,,,,,
2,keldon warcaller,,,,,,,
2,tolarian scholar,,,,,,,
1,ghitu journeymage,,,,,,,
1,deep freeze,,,,,,,
2,fight with fire,,,,,,,
1,wizard's lightning,,,,,,,
1,time of ice,,,,,,,
1,academy journeymage,,,,,,,
1,jaya ballard,,,,,,,
1,cold-water snapper,,,,,,,
8,island,,,,,,,
9,mountain,,,,,,,
DOM,2,3,R,U,,,,
1,warlord's fury,,,,,,,
2,vodalian arcanist,,,,,,,
1,bloodstone goblin,,,,,,,
1,ghitu chronicler,,,,,,,
2,keldon warcaller,,,,,,,
2,blink of an eye,,,,,,,
3,tolarian scholar,,,,,,,
1,adeliz the cinder wind,,,,,,,
1,divination,,,,,,,
2,naru meha master wizard,,,,,,,
1,goblin barrage,,,,,,,
1,icy manipulator,,,,,,,
1,cloudreader sphinx,,,,,,,
2,fiery intervention,,,,,,,
1,cold-water snapper,,,,,,,
1,in bolas's clutches,,,,,,,
10,island,,,,,,,
7,mountain,,,,,,,
DOM,5,3,U,W,,,,
3,artificer's assistant,,,,,,,
3,sparring construct,,,,,,,
2,short sword,,,,,,,
3,serra disciple,,,,,,,
2,relic runner,,,,,,,
2,tetsuko umezawa fugitive,,,,,,,
2,voltaic servant,,,,,,,
1,jousting lance,,,,,,,
1,dub,,,,,,,
2,deep freeze,,,,,,,
1,time of ice,,,,,,,
1,blessed light,,,,,,,
1,cold-water snapper,,,,,,,
7,plains,,,,,,,
9,island,,,,,,,
DOM,7,2,B,g,U,,,
1,fungal infection,,,,,,,
5,caligo skin-witch,,,,,,,
1,knight of malice,,,,,,,
1,blink of an eye,,,,,,,
2,cast down,,,,,,,
1,vicious offering,,,,,,,
2,deathbloom thallid,,,,,,,
1,skittering surveyor,,,,,,,
2,deep freeze,,,,,,,
2,thallid omnivore,,,,,,,
1,dark bargain,,,,,,,
1,phyrexian scriptures,,,,,,,
1,tatyova bethic druid,,,,,,,
1,muldrotha the gravetide,,,,,,,
1,in bolas's clutches,,,,,,,
5,island,,,,,,,
10,swamp,,,,,,,
2,forest,,,,,,,
DOM,2,3,U,W,,,,
3,arcane flight,,,,,,,
1,knight of new benalia,,,,,,,
2,serra disciple,,,,,,,
1,blink of an eye,,,,,,,
1,jousting lance,,,,,,,
2,d'avenant trapper,,,,,,,
2,tolarian scholar,,,,,,,
1,invoke the divine,,,,,,,
1,aesthir glider,,,,,,,
1,deep freeze,,,,,,,
1,baird steward of argive,,,,,,,
1,homarid explorer,,,,,,,
2,academy journeymage,,,,,,,
2,cold-water snapper,,,,,,,
1,zahid djinn of the lamp,,,,,,,
8,plains,,,,,,,
9,island,,,,,,,
DOM,1,3,G,R,,,,
4,ghitu lavarunner,,,,,,,
2,shivan fire,,,,,,,
1,short sword,,,,,,,
2,bloodstone goblin,,,,,,,
1,keldon warcaller,,,,,,,
1,untamed kavu,,,,,,,
2,frenzied rage,,,,,,,
2,run amok,,,,,,,
2,saproling migration,,,,,,,
1,song of freyalise,,,,,,,
1,keldon overseer,,,,,,,
2,valduk keeper of the flame,,,,,,,
1,wizard's lightning,,,,,,,
1,keldon raider,,,,,,,
1,goblin barrage,,,,,,,
10,mountain,,,,,,,
6,forest,,,,,,,
GRN,0,3,b,G,r,W,,
1,necrotic wound,,,,,,,
1,sunhome stalwart,,,,,,,
1,grappling sundew,,,,,,,
1,ironshell beetle,,,,,,,
1,vernadi shieldmate,,,,,,,
2,district guide,,,,,,,
2,generous stray,,,,,,,
2,centaur peacemaker,,,,,,,
1,parhelion patrol,,,,,,,
2,conclave cavalier,,,,,,,
1,collar the culprit,,,,,,,
2,price of flame,,,,,,,
1,rosemane centaur,,,,,,,
1,response/resurgence,,,,,,,
1,assure/assemble,,,,,,,
1,camaraderie,,,,,,,
1,flight of equenauts,,,,,,,
6,plains,,,,,,,
